OCCP,OCCABB,NOTE,OCCUPATION
4510,PRS,Personal Care and Service Occupations,"HAIRDRESSERS, HAIRSTYLISTS, AND COSMETOLOGISTS"
4520,PRS,Personal Care and Service Occupations,MISCELLANEOUS PERSONAL APPEARANCE WORKERS
4530,PRS,Personal Care and Service Occupations,"BAGGAGE PORTERS, BELLHOPS, AND CONCIERGES"
4540,PRS,Personal Care and Service Occupations,TOUR AND TRAVEL GUIDES
4600,PRS,Personal Care and Service Occupations,CHILDCARE WORKERS
4610,PRS,Personal Care and Service Occupations,PERSONAL CARE AIDES
4620,PRS,Personal Care and Service Occupations,RECREATION AND FITNESS WORKERS
4640,PRS,Personal Care and Service Occupations,RESIDENTIAL ADVISORS
4650,PRS,Personal Care and Service Occupations,"PERSONAL CARE AND SERVICE WORKERS, ALL OTHER"
4700,SAL,Sales and Related Occupations,FIRST LINE SUPERVISORS OF RETAIL SALES WORKERS
4710,SAL,Sales and Related Occupations,FIRST LINE SUPERVISORS OF NON RETAIL SALES WORKERS
4720,SAL,Sales and Related Occupations,CASHIERS
4740,SAL,Sales and Related Occupations,COUNTER AND RENTAL CLERKS
4750,SAL,Sales and Related Occupations,PARTS SALESPERSONS
4760,SAL,Sales and Related Occupations,RETAIL SALESPERSONS
4800,SAL,Sales and Related Occupations,ADVERTISING SALES AGENTS
4810,SAL,Sales and Related Occupations,INSURANCE SALES AGENTS
4820,SAL,Sales and Related Occupations,"SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SALES AGENTS"
4830,SAL,Sales and Related Occupations,TRAVEL AGENTS
4840,SAL,Sales and Related Occupations,"SALES REPRESENTATIVES, SERVICES, ALL OTHER"
4850,SAL,Sales and Related Occupations,"SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING"
4900,SAL,Sales and Related Occupations,"MODELS, DEMONSTRATORS, AND PRODUCT PROMOTERS"
4920,SAL,Sales and Related Occupations,REAL ESTATE BROKERS AND SALES AGENTS
4930,SAL,Sales and Related Occupations,SALES ENGINEERS
4940,SAL,Sales and Related Occupations,TELEMARKETERS
4950,SAL,Sales and Related Occupations,"DOOR TO DOOR SALES WORKERS, NEWS AND STREET VENDORS"
4965,SAL,Sales and Related Occupations,"SALES AND RELATED WORKERS, ALL OTHER"
5000,OFF,Office and Administrative Support Occupations,FIRST LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE SUPPORT WORKERS
5010,OFF,Office and Administrative Support Occupations,"SWITCHBOARD OPERATORS, INCLUDING ANSWERING SERVICE"
5020,OFF,Office and Administrative Support Occupations,TELEPHONE OPERATORS
5030,OFF,Office and Administrative Support Occupations,"COMMUNICATIONS EQUIPMENT OPERATORS, ALL OTHER"
5100,OFF,Office and Administrative Support Occupations,BILL AND ACCOUNT COLLECTORS
5110,OFF,Office and Administrative Support Occupations,BILLING AND POSTING CLERKS
5120,OFF,Office and Administrative Support Occupations,"BOOKKEEPING, ACCOUNTING, AND AUDITING CLERKS"
5130,OFF,Office and Administrative Support Occupations,GAMING CAGE WORKERS
5140,OFF,Office and Administrative Support Occupations,PAYROLL AND TIMEKEEPING CLERKS
5150,OFF,Office and Administrative Support Occupations,PROCUREMENT CLERKS
5160,OFF,Office and Administrative Support Occupations,TELLERS
5165,OFF,Office and Administrative Support Occupations,"FINANCIAL CLERKS, ALL OTHER"
5200,OFF,Office and Administrative Support Occupations,BROKERAGE CLERKS
5220,OFF,Office and Administrative Support Occupations,"COURT, MUNICIPAL, AND LICENSE CLERKS"
5230,OFF,Office and Administrative Support Occupations,"CREDIT AUTHORIZERS, CHECKERS, AND CLERKS"
5240,OFF,Office and Administrative Support Occupations,CUSTOMER SERVICE REPRESENTATIVES
5250,OFF,Office and Administrative Support Occupations,"ELIGIBILITY INTERVIEWERS, GOVERNMENT PROGRAMS"
5260,OFF,Office and Administrative Support Occupations,FILE CLERKS
5300,OFF,Office and Administrative Support Occupations,"HOTEL, MOTEL, AND RESORT DESK CLERKS"
5310,OFF,Office and Administrative Support Occupations,"INTERVIEWERS, EXCEPT ELIGIBILITY AND LOAN"
5320,OFF,Office and Administrative Support Occupations,"LIBRARY ASSISTANTS, CLERICAL"
5330,OFF,Office and Administrative Support Occupations,LOAN INTERVIEWERS AND CLERKS
5340,OFF,Office and Administrative Support Occupations,NEW ACCOUNTS CLERKS
5350,OFF,Office and Administrative Support Occupations,CORRESPONDENCE CLERKS AND ORDER CLERKS
5360,OFF,Office and Administrative Support Occupations,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIMEKEEPING"
5400,OFF,Office and Administrative Support Occupations,RECEPTIONISTS AND INFORMATION CLERKS
5410,OFF,Office and Administrative Support Occupations,RESERVATION AND TRANSPORTATION TICKET AGENTS AND .TRAVEL CLERKS
5420,OFF,Office and Administrative Support Occupations,"INFORMATION AND RECORD CLERKS, ALL OTHER"
5500,OFF,Office and Administrative Support Occupations,CARGO AND FREIGHT AGENTS
5510,OFF,Office and Administrative Support Occupations,COURIERS AND MESSENGERS
5520,OFF,Office and Administrative Support Occupations,DISPATCHERS
5530,OFF,Office and Administrative Support Occupations,"METER READERS, UTILITIES"
5540,OFF,Office and Administrative Support Occupations,POSTAL SERVICE CLERKS
5550,OFF,Office and Administrative Support Occupations,POSTAL SERVICE MAIL CARRIERS
5560,OFF,Office and Administrative Support Occupations,"POSTAL SERVICE MAIL SORTERS, PROCESSORS, AND .PROCESSING MACHINE OPERATORS"
5600,OFF,Office and Administrative Support Occupations,"PRODUCTION, PLANNING, AND EXPEDITING CLERKS"
5610,OFF,Office and Administrative Support Occupations,"SHIPPING, RECEIVING, AND TRAFFIC CLERKS"
5620,OFF,Office and Administrative Support Occupations,STOCK CLERKS AND ORDER FILLERS
5630,OFF,Office and Administrative Support Occupations,"WEIGHERS, MEASURERS, CHECKERS, AND SAMPLERS, .RECORDKEEPING"
